[00:00:02,029] INFO  {NewsComp} <nid:14>starting...
[00:00:02,029] WARN  {GradientComp} <nid:13,oid:12000001> no self view
[00:00:02,029] WARN  {GradientComp} <nid:14,oid:12000001> no self view
[00:00:02,030] INFO  {HostMngrComp} <nid:15>initiating...
[00:00:02,030] INFO  {HostMngrComp} <nid:15>starting...
[00:00:02,030] INFO  {LeaderSelectComp} <nid:15>initiating...
[00:00:02,030] INFO  {NewsComp} <nid:15>initiating...
[00:00:02,030] INFO  {LeaderSelectComp} <nid:15>starting...
[00:00:02,030] INFO  {NewsComp} <nid:15>starting...
[00:00:02,030] WARN  {GradientComp} <nid:15,oid:12000001> no self view
[00:00:02,034] INFO  {HostMngrComp} <nid:16>initiating...
[00:00:02,034] INFO  {HostMngrComp} <nid:16>starting...
[00:00:02,034] INFO  {LeaderSelectComp} <nid:16>initiating...
[00:00:02,034] INFO  {NewsComp} <nid:16>initiating...
[00:00:02,034] INFO  {LeaderSelectComp} <nid:16>starting...
[00:00:02,034] INFO  {NewsComp} <nid:16>starting...
[00:00:02,034] WARN  {GradientComp} <nid:16,oid:12000001> no self view
[00:00:02,035] INFO  {HostMngrComp} <nid:17>initiating...
[00:00:02,035] INFO  {HostMngrComp} <nid:17>starting...
[00:00:02,035] INFO  {LeaderSelectComp} <nid:17>initiating...
[00:00:02,035] INFO  {NewsComp} <nid:17>initiating...
[00:00:02,035] INFO  {LeaderSelectComp} <nid:17>starting...
[00:00:02,035] INFO  {NewsComp} <nid:17>starting...
[00:00:02,035] WARN  {GradientComp} <nid:17,oid:12000001> no self view
[00:00:02,036] INFO  {HostMngrComp} <nid:18>initiating...
[00:00:02,036] INFO  {HostMngrComp} <nid:18>starting...
[00:00:02,036] INFO  {LeaderSelectComp} <nid:18>initiating...
[00:00:02,036] INFO  {NewsComp} <nid:18>initiating...
[00:00:02,036] INFO  {LeaderSelectComp} <nid:18>starting...
[00:00:02,036] INFO  {NewsComp} <nid:18>starting...
[00:00:02,036] WARN  {GradientComp} <nid:18,oid:12000001> no self view
[00:00:02,038] INFO  {HostMngrComp} <nid:19>initiating...
[00:00:02,038] INFO  {HostMngrComp} <nid:19>starting...
[00:00:02,038] INFO  {LeaderSelectComp} <nid:19>initiating...
[00:00:02,038] INFO  {NewsComp} <nid:19>initiating...
[00:00:02,038] INFO  {LeaderSelectComp} <nid:19>starting...
[00:00:02,038] INFO  {NewsComp} <nid:19>starting...
[00:00:02,038] WARN  {GradientComp} <nid:19,oid:12000001> no self view
[00:00:02,042] INFO  {HostMngrComp} <nid:20>initiating...
[00:00:02,042] INFO  {HostMngrComp} <nid:20>starting...
[00:00:02,042] INFO  {LeaderSelectComp} <nid:20>initiating...
[00:00:02,042] INFO  {NewsComp} <nid:20>initiating...
[00:00:02,042] INFO  {LeaderSelectComp} <nid:20>starting...
[00:00:02,042] INFO  {NewsComp} <nid:20>starting...
[00:00:02,042] WARN  {GradientComp} <nid:20,oid:12000001> no self view
[00:00:02,043] INFO  {HostMngrComp} <nid:21>initiating...
[00:00:02,043] INFO  {HostMngrComp} <nid:21>starting...
[00:00:02,043] INFO  {LeaderSelectComp} <nid:21>initiating...
[00:00:02,043] INFO  {NewsComp} <nid:21>initiating...
[00:00:02,043] INFO  {LeaderSelectComp} <nid:21>starting...
[00:00:02,043] INFO  {NewsComp} <nid:21>starting...
[00:00:02,043] WARN  {GradientComp} <nid:21,oid:12000001> no self view
[00:00:02,045] INFO  {HostMngrComp} <nid:22>initiating...
[00:00:02,045] INFO  {HostMngrComp} <nid:22>starting...
[00:00:02,045] INFO  {HostMngrComp} <nid:23>initiating...
[00:00:02,045] INFO  {HostMngrComp} <nid:23>starting...
[00:00:02,045] INFO  {LeaderSelectComp} <nid:22>initiating...
[00:00:02,045] INFO  {NewsComp} <nid:22>initiating...
[00:00:02,045] INFO  {LeaderSelectComp} <nid:22>starting...
[00:00:02,045] INFO  {NewsComp} <nid:22>starting...
[00:00:02,045] INFO  {LeaderSelectComp} <nid:23>initiating...
[00:00:02,045] INFO  {NewsComp} <nid:23>initiating...
[00:00:02,045] INFO  {LeaderSelectComp} <nid:23>starting...
[00:00:02,045] INFO  {NewsComp} <nid:23>starting...
[00:00:02,045] WARN  {GradientComp} <nid:22,oid:12000001> no self view
[00:00:02,045] WARN  {GradientComp} <nid:23,oid:12000001> no self view
[00:00:02,048] INFO  {HostMngrComp} <nid:24>initiating...
[00:00:02,048] INFO  {HostMngrComp} <nid:24>starting...
[00:00:02,048] INFO  {LeaderSelectComp} <nid:24>initiating...
[00:00:02,048] INFO  {NewsComp} <nid:24>initiating...
[00:00:02,048] INFO  {LeaderSelectComp} <nid:24>starting...
[00:00:02,048] INFO  {NewsComp} <nid:24>starting...
[00:00:02,048] WARN  {GradientComp} <nid:24,oid:12000001> no self view
[00:00:02,052] INFO  {HostMngrComp} <nid:25>initiating...
[00:00:02,052] INFO  {HostMngrComp} <nid:25>starting...
[00:00:02,052] INFO  {LeaderSelectComp} <nid:25>initiating...
[00:00:02,052] INFO  {NewsComp} <nid:25>initiating...
[00:00:02,052] INFO  {LeaderSelectComp} <nid:25>starting...
[00:00:02,052] INFO  {NewsComp} <nid:25>starting...
[00:00:02,052] WARN  {GradientComp} <nid:25,oid:12000001> no self view
[00:00:02,056] INFO  {HostMngrComp} <nid:26>initiating...
[00:00:02,056] INFO  {HostMngrComp} <nid:26>starting...
[00:00:02,056] INFO  {LeaderSelectComp} <nid:26>initiating...
[00:00:02,056] INFO  {NewsComp} <nid:26>initiating...
[00:00:02,056] INFO  {LeaderSelectComp} <nid:26>starting...
[00:00:02,056] INFO  {NewsComp} <nid:26>starting...
[00:00:02,056] WARN  {GradientComp} <nid:26,oid:12000001> no self view
[00:00:02,058] INFO  {HostMngrComp} <nid:27>initiating...
[00:00:02,058] INFO  {HostMngrComp} <nid:27>starting...
[00:00:02,058] INFO  {LeaderSelectComp} <nid:27>initiating...
[00:00:02,058] INFO  {NewsComp} <nid:27>initiating...
[00:00:02,058] INFO  {LeaderSelectComp} <nid:27>starting...
[00:00:02,058] INFO  {NewsComp} <nid:27>starting...
[00:00:02,058] WARN  {GradientComp} <nid:27,oid:12000001> no self view
[00:00:02,059] INFO  {HostMngrComp} <nid:28>initiating...
[00:00:02,059] INFO  {HostMngrComp} <nid:28>starting...
[00:00:02,059] INFO  {LeaderSelectComp} <nid:28>initiating...
[00:00:02,059] INFO  {NewsComp} <nid:28>initiating...
[00:00:02,059] INFO  {LeaderSelectComp} <nid:28>starting...
[00:00:02,059] INFO  {NewsComp} <nid:28>starting...
[00:00:02,059] WARN  {GradientComp} <nid:28,oid:12000001> no self view
[00:00:02,062] INFO  {HostMngrComp} <nid:29>initiating...
[00:00:02,062] INFO  {HostMngrComp} <nid:29>starting...
[00:00:02,062] INFO  {LeaderSelectComp} <nid:29>initiating...
[00:00:02,062] INFO  {NewsComp} <nid:29>initiating...
[00:00:02,062] INFO  {LeaderSelectComp} <nid:29>starting...
[00:00:02,062] INFO  {NewsComp} <nid:29>starting...
[00:00:02,062] WARN  {GradientComp} <nid:29,oid:12000001> no self view
[00:00:02,065] INFO  {HostMngrComp} <nid:30>initiating...
[00:00:02,065] INFO  {HostMngrComp} <nid:30>starting...
[00:00:02,065] INFO  {LeaderSelectComp} <nid:30>initiating...
[00:00:02,065] INFO  {NewsComp} <nid:30>initiating...
[00:00:02,065] INFO  {LeaderSelectComp} <nid:30>starting...
[00:00:02,065] INFO  {NewsComp} <nid:30>starting...
[00:00:02,065] WARN  {GradientComp} <nid:30,oid:12000001> no self view
[00:00:02,069] INFO  {HostMngrComp} <nid:31>initiating...
[00:00:02,069] INFO  {HostMngrComp} <nid:31>starting...
[00:00:02,069] INFO  {LeaderSelectComp} <nid:31>initiating...
[00:00:02,069] INFO  {NewsComp} <nid:31>initiating...
[00:00:02,069] INFO  {LeaderSelectComp} <nid:31>starting...
[00:00:02,069] INFO  {NewsComp} <nid:31>starting...
[00:00:02,069] WARN  {GradientComp} <nid:31,oid:12000001> no self view
[00:00:02,071] INFO  {HostMngrComp} <nid:32>initiating...
[00:00:02,071] INFO  {HostMngrComp} <nid:32>starting...
[00:00:02,071] INFO  {LeaderSelectComp} <nid:32>initiating...
[00:00:02,071] INFO  {NewsComp} <nid:32>initiating...
[00:00:02,071] INFO  {LeaderSelectComp} <nid:32>starting...
[00:00:02,071] INFO  {NewsComp} <nid:32>starting...
[00:00:02,071] WARN  {GradientComp} <nid:32,oid:12000001> no self view
[00:00:02,072] INFO  {HostMngrComp} <nid:33>initiating...
[00:00:02,072] INFO  {HostMngrComp} <nid:33>starting...
[00:00:02,072] INFO  {LeaderSelectComp} <nid:33>initiating...
[00:00:02,072] INFO  {NewsComp} <nid:33>initiating...
[00:00:02,072] INFO  {LeaderSelectComp} <nid:33>starting...
[00:00:02,072] INFO  {NewsComp} <nid:33>starting...
[00:00:02,072] WARN  {GradientComp} <nid:33,oid:12000001> no self view
[00:00:02,073] INFO  {HostMngrComp} <nid:34>initiating...
[00:00:02,073] INFO  {HostMngrComp} <nid:34>starting...
[00:00:02,073] INFO  {LeaderSelectComp} <nid:34>initiating...
[00:00:02,073] INFO  {NewsComp} <nid:34>initiating...
[00:00:02,073] INFO  {LeaderSelectComp} <nid:34>starting...
[00:00:02,073] INFO  {NewsComp} <nid:34>starting...
[00:00:02,073] WARN  {GradientComp} <nid:34,oid:12000001> no self view
[00:00:02,078] INFO  {HostMngrComp} <nid:35>initiating...
[00:00:02,078] INFO  {HostMngrComp} <nid:35>starting...
[00:00:02,078] INFO  {HostMngrComp} <nid:36>initiating...
[00:00:02,078] INFO  {HostMngrComp} <nid:36>starting...
[00:00:02,078] INFO  {LeaderSelectComp} <nid:35>initiating...
[00:00:02,078] INFO  {NewsComp} <nid:35>initiating...
[00:00:02,078] INFO  {LeaderSelectComp} <nid:35>starting...
[00:00:02,078] INFO  {NewsComp} <nid:35>starting...
[00:00:02,078] INFO  {LeaderSelectComp} <nid:36>initiating...
[00:00:02,078] INFO  {NewsComp} <nid:36>initiating...
[00:00:02,078] INFO  {LeaderSelectComp} <nid:36>starting...
[00:00:02,078] INFO  {NewsComp} <nid:36>starting...
[00:00:02,078] WARN  {GradientComp} <nid:35,oid:12000001> no self view
[00:00:02,078] WARN  {GradientComp} <nid:36,oid:12000001> no self view
[00:00:02,082] INFO  {HostMngrComp} <nid:37>initiating...
[00:00:02,082] INFO  {HostMngrComp} <nid:37>starting...
[00:00:02,082] INFO  {HostMngrComp} <nid:38>initiating...
[00:00:02,082] INFO  {HostMngrComp} <nid:38>starting...
[00:00:02,082] INFO  {LeaderSelectComp} <nid:37>initiating...
[00:00:02,082] INFO  {NewsComp} <nid:37>initiating...
[00:00:02,082] INFO  {LeaderSelectComp} <nid:37>starting...
[00:00:02,082] INFO  {NewsComp} <nid:37>starting...
[00:00:02,082] INFO  {LeaderSelectComp} <nid:38>initiating...
[00:00:02,082] INFO  {NewsComp} <nid:38>initiating...
[00:00:02,082] INFO  {LeaderSelectComp} <nid:38>starting...
[00:00:02,082] INFO  {NewsComp} <nid:38>starting...
[00:00:02,082] WARN  {GradientComp} <nid:37,oid:12000001> no self view
[00:00:02,082] WARN  {GradientComp} <nid:38,oid:12000001> no self view
[00:00:02,084] INFO  {HostMngrComp} <nid:39>initiating...
[00:00:02,084] INFO  {HostMngrComp} <nid:39>starting...
[00:00:02,084] INFO  {LeaderSelectComp} <nid:39>initiating...
[00:00:02,084] INFO  {NewsComp} <nid:39>initiating...
[00:00:02,084] INFO  {LeaderSelectComp} <nid:39>starting...
[00:00:02,084] INFO  {NewsComp} <nid:39>starting...
[00:00:02,084] WARN  {GradientComp} <nid:39,oid:12000001> no self view
[00:00:02,088] INFO  {HostMngrComp} <nid:40>initiating...
[00:00:02,088] INFO  {HostMngrComp} <nid:40>starting...
[00:00:02,088] INFO  {LeaderSelectComp} <nid:40>initiating...
[00:00:02,088] INFO  {NewsComp} <nid:40>initiating...
[00:00:02,088] INFO  {LeaderSelectComp} <nid:40>starting...
[00:00:02,088] INFO  {NewsComp} <nid:40>starting...
[00:00:02,088] WARN  {GradientComp} <nid:40,oid:12000001> no self view
[00:00:02,090] INFO  {HostMngrComp} <nid:41>initiating...
[00:00:02,090] INFO  {HostMngrComp} <nid:41>starting...
[00:00:02,090] INFO  {LeaderSelectComp} <nid:41>initiating...
[00:00:02,090] INFO  {NewsComp} <nid:41>initiating...
[00:00:02,090] INFO  {LeaderSelectComp} <nid:41>starting...
[00:00:02,090] INFO  {NewsComp} <nid:41>starting...
[00:00:02,090] WARN  {GradientComp} <nid:41,oid:12000001> no self view
[00:00:02,094] INFO  {HostMngrComp} <nid:42>initiating...
[00:00:02,094] INFO  {HostMngrComp} <nid:42>starting...
[00:00:02,094] INFO  {LeaderSelectComp} <nid:42>initiating...
[00:00:02,094] INFO  {NewsComp} <nid:42>initiating...
[00:00:02,094] INFO  {LeaderSelectComp} <nid:42>starting...
[00:00:02,094] INFO  {NewsComp} <nid:42>starting...
[00:00:02,094] WARN  {GradientComp} <nid:42,oid:12000001> no self view
[00:00:02,099] INFO  {HostMngrComp} <nid:43>initiating...
[00:00:02,099] INFO  {HostMngrComp} <nid:43>starting...
[00:00:02,099] INFO  {LeaderSelectComp} <nid:43>initiating...
[00:00:02,099] INFO  {NewsComp} <nid:43>initiating...
[00:00:02,099] INFO  {LeaderSelectComp} <nid:43>starting...
[00:00:02,099] INFO  {NewsComp} <nid:43>starting...
[00:00:02,099] WARN  {GradientComp} <nid:43,oid:12000001> no self view
[00:00:02,103] INFO  {HostMngrComp} <nid:44>initiating...
[00:00:02,103] INFO  {HostMngrComp} <nid:44>starting...
[00:00:02,103] INFO  {LeaderSelectComp} <nid:44>initiating...
[00:00:02,103] INFO  {NewsComp} <nid:44>initiating...
[00:00:02,103] INFO  {LeaderSelectComp} <nid:44>starting...
[00:00:02,103] INFO  {NewsComp} <nid:44>starting...
[00:00:02,103] WARN  {GradientComp} <nid:44,oid:12000001> no self view
[00:00:02,106] INFO  {HostMngrComp} <nid:45>initiating...
[00:00:02,106] INFO  {HostMngrComp} <nid:45>starting...
[00:00:02,106] INFO  {LeaderSelectComp} <nid:45>initiating...
[00:00:02,106] INFO  {NewsComp} <nid:45>initiating...
[00:00:02,106] INFO  {LeaderSelectComp} <nid:45>starting...
[00:00:02,106] INFO  {NewsComp} <nid:45>starting...
[00:00:02,106] WARN  {GradientComp} <nid:45,oid:12000001> no self view
[00:00:02,107] INFO  {HostMngrComp} <nid:46>initiating...
[00:00:02,107] INFO  {HostMngrComp} <nid:46>starting...
[00:00:02,107] INFO  {LeaderSelectComp} <nid:46>initiating...
[00:00:02,107] INFO  {NewsComp} <nid:46>initiating...
[00:00:02,107] INFO  {LeaderSelectComp} <nid:46>starting...
[00:00:02,107] INFO  {NewsComp} <nid:46>starting...
[00:00:02,107] WARN  {GradientComp} <nid:46,oid:12000001> no self view
[00:00:02,108] INFO  {HostMngrComp} <nid:47>initiating...
[00:00:02,108] INFO  {HostMngrComp} <nid:47>starting...
[00:00:02,108] INFO  {LeaderSelectComp} <nid:47>initiating...
[00:00:02,108] INFO  {NewsComp} <nid:47>initiating...
[00:00:02,108] INFO  {LeaderSelectComp} <nid:47>starting...
[00:00:02,108] INFO  {NewsComp} <nid:47>starting...
[00:00:02,108] WARN  {GradientComp} <nid:47,oid:12000001> no self view
[00:00:02,112] INFO  {HostMngrComp} <nid:48>initiating...
[00:00:02,112] INFO  {HostMngrComp} <nid:48>starting...
[00:00:02,112] INFO  {LeaderSelectComp} <nid:48>initiating...
[00:00:02,112] INFO  {NewsComp} <nid:48>initiating...
[00:00:02,112] INFO  {LeaderSelectComp} <nid:48>starting...
[00:00:02,112] INFO  {NewsComp} <nid:48>starting...
[00:00:02,112] WARN  {GradientComp} <nid:48,oid:12000001> no self view
[00:00:02,113] INFO  {HostMngrComp} <nid:49>initiating...
[00:00:02,113] INFO  {HostMngrComp} <nid:49>starting...
[00:00:02,113] INFO  {LeaderSelectComp} <nid:49>initiating...
[00:00:02,113] INFO  {NewsComp} <nid:49>initiating...
[00:00:02,113] INFO  {LeaderSelectComp} <nid:49>starting...
[00:00:02,113] INFO  {NewsComp} <nid:49>starting...
[00:00:02,113] WARN  {GradientComp} <nid:49,oid:12000001> no self view
[00:00:02,115] INFO  {HostMngrComp} <nid:50>initiating...
[00:00:02,115] INFO  {HostMngrComp} <nid:50>starting...
[00:00:02,115] INFO  {LeaderSelectComp} <nid:50>initiating...
[00:00:02,115] INFO  {NewsComp} <nid:50>initiating...
[00:00:02,115] INFO  {LeaderSelectComp} <nid:50>starting...
[00:00:02,115] INFO  {NewsComp} <nid:50>starting...
[00:00:02,115] WARN  {GradientComp} <nid:50,oid:12000001> no self view
[00:00:02,116] INFO  {HostMngrComp} <nid:51>initiating...
[00:00:02,116] INFO  {HostMngrComp} <nid:51>starting...
[00:00:02,116] INFO  {LeaderSelectComp} <nid:51>initiating...
[00:00:02,116] INFO  {NewsComp} <nid:51>initiating...
[00:00:02,116] INFO  {LeaderSelectComp} <nid:51>starting...
[00:00:02,116] INFO  {NewsComp} <nid:51>starting...
[00:00:02,116] WARN  {GradientComp} <nid:51,oid:12000001> no self view
[00:00:02,117] INFO  {HostMngrComp} <nid:52>initiating...
[00:00:02,117] INFO  {HostMngrComp} <nid:52>starting...
[00:00:02,117] INFO  {LeaderSelectComp} <nid:52>initiating...
[00:00:02,117] INFO  {NewsComp} <nid:52>initiating...
[00:00:02,117] INFO  {LeaderSelectComp} <nid:52>starting...
[00:00:02,117] INFO  {NewsComp} <nid:52>starting...
[00:00:02,117] WARN  {GradientComp} <nid:52,oid:12000001> no self view
[00:00:02,120] INFO  {HostMngrComp} <nid:53>initiating...
[00:00:02,120] INFO  {HostMngrComp} <nid:53>starting...
[00:00:02,120] INFO  {LeaderSelectComp} <nid:53>initiating...
[00:00:02,120] INFO  {NewsComp} <nid:53>initiating...
[00:00:02,120] INFO  {LeaderSelectComp} <nid:53>starting...
[00:00:02,120] INFO  {NewsComp} <nid:53>starting...
[00:00:02,120] WARN  {GradientComp} <nid:53,oid:12000001> no self view
[00:00:02,124] INFO  {HostMngrComp} <nid:54>initiating...
[00:00:02,124] INFO  {HostMngrComp} <nid:54>starting...
[00:00:02,124] INFO  {LeaderSelectComp} <nid:54>initiating...
[00:00:02,124] INFO  {NewsComp} <nid:54>initiating...
[00:00:02,124] INFO  {LeaderSelectComp} <nid:54>starting...
[00:00:02,124] INFO  {NewsComp} <nid:54>starting...
[00:00:02,124] WARN  {GradientComp} <nid:54,oid:12000001> no self view
[00:00:02,125] INFO  {HostMngrComp} <nid:55>initiating...
[00:00:02,125] INFO  {HostMngrComp} <nid:55>starting...
[00:00:02,125] INFO  {LeaderSelectComp} <nid:55>initiating...
[00:00:02,125] INFO  {NewsComp} <nid:55>initiating...
[00:00:02,125] INFO  {LeaderSelectComp} <nid:55>starting...
[00:00:02,125] INFO  {NewsComp} <nid:55>starting...
[00:00:02,125] WARN  {GradientComp} <nid:55,oid:12000001> no self view
[00:00:02,130] INFO  {HostMngrComp} <nid:56>initiating...
[00:00:02,130] INFO  {HostMngrComp} <nid:56>starting...
[00:00:02,130] INFO  {LeaderSelectComp} <nid:56>initiating...
[00:00:02,130] INFO  {NewsComp} <nid:56>initiating...
[00:00:02,130] INFO  {LeaderSelectComp} <nid:56>starting...
[00:00:02,130] INFO  {NewsComp} <nid:56>starting...
[00:00:02,130] WARN  {GradientComp} <nid:56,oid:12000001> no self view
[00:00:02,133] INFO  {HostMngrComp} <nid:57>initiating...
[00:00:02,133] INFO  {HostMngrComp} <nid:57>starting...
[00:00:02,133] INFO  {LeaderSelectComp} <nid:57>initiating...
[00:00:02,133] INFO  {NewsComp} <nid:57>initiating...
[00:00:02,133] INFO  {LeaderSelectComp} <nid:57>starting...
[00:00:02,133] INFO  {NewsComp} <nid:57>starting...
[00:00:02,133] WARN  {GradientComp} <nid:57,oid:12000001> no self view
[00:00:02,134] INFO  {HostMngrComp} <nid:58>initiating...
[00:00:02,134] INFO  {HostMngrComp} <nid:58>starting...
[00:00:02,134] INFO  {LeaderSelectComp} <nid:58>initiating...
[00:00:02,134] INFO  {NewsComp} <nid:58>initiating...
[00:00:02,134] INFO  {LeaderSelectComp} <nid:58>starting...
[00:00:02,134] INFO  {NewsComp} <nid:58>starting...
[00:00:02,134] WARN  {GradientComp} <nid:58,oid:12000001> no self view
[00:00:02,139] INFO  {HostMngrComp} <nid:59>initiating...
[00:00:02,139] INFO  {HostMngrComp} <nid:59>starting...
[00:00:02,139] INFO  {LeaderSelectComp} <nid:59>initiating...
[00:00:02,139] INFO  {NewsComp} <nid:59>initiating...
[00:00:02,139] INFO  {LeaderSelectComp} <nid:59>starting...
[00:00:02,139] INFO  {NewsComp} <nid:59>starting...
[00:00:02,139] WARN  {GradientComp} <nid:59,oid:12000001> no self view
[00:00:02,140] INFO  {HostMngrComp} <nid:60>initiating...
[00:00:02,140] INFO  {HostMngrComp} <nid:60>starting...
[00:00:02,140] INFO  {LeaderSelectComp} <nid:60>initiating...
[00:00:02,140] INFO  {NewsComp} <nid:60>initiating...
[00:00:02,140] INFO  {LeaderSelectComp} <nid:60>starting...
[00:00:02,140] INFO  {NewsComp} <nid:60>starting...
[00:00:02,140] WARN  {GradientComp} <nid:60,oid:12000001> no self view
[00:00:02,144] INFO  {HostMngrComp} <nid:61>initiating...
